timestamp,product_name,product_type,available_items,cheapest_1,cheapest_2,cheapest_3,avg_robust,avg_market,avg_robust_shipping,avg_market_shipping,cheapest_ship_1,cheapest_ship_2,cheapest_ship_3,cheapest_ship_4,cheapest_ship_5,cheapest_ship_6,cheapest_ship_7,cheapest_ship_8,cheapest_ship_9,cheapest_ship_10,cheapest_ship_11,cheapest_ship_12,cheapest_ship_13,cheapest_ship_14,cheapest_ship_15,cheapest_ship_16,cheapest_ship_17,cheapest_ship_18,cheapest_ship_19,cheapest_ship_20,cheapest_ship_21,cheapest_ship_22,cheapest_ship_23,cheapest_ship_24,cheapest_ship_25,cheapest_ship_26,cheapest_ship_27,cheapest_ship_28,cheapest_ship_29,cheapest_ship_30,cheapest_item_1,cheapest_item_2,cheapest_item_3,cheapest_item_4,cheapest_item_5,cheapest_item_6,cheapest_item_7,cheapest_item_8,cheapest_item_9,cheapest_item_10,cheapest_item_11,cheapest_item_12,cheapest_item_13,cheapest_item_14,cheapest_item_15,cheapest_item_16,cheapest_item_17,cheapest_item_18,cheapest_item_19,cheapest_item_20,cheapest_item_21,cheapest_item_22,cheapest_item_23,cheapest_item_24,cheapest_item_25,cheapest_item_26,cheapest_item_27,cheapest_item_28,cheapest_item_29,cheapest_item_30
46265,6305555556,Pokemon Ascended Heroes ETB (Eng),single,1418,172.18,176.14,176.18,162.85,162.85,178.31,179.21,172.18,176.14,176.18,176.19,176.19,177.19,177.19,179.89,181.5,182.18,182.41,182.42,182.5,182.99,182.99,183.43,184.49,184.5,184.5,184.55,184.55,184.89,185.19,185.42,186.19,186.42,186.42,186.46,186.55,186.99,154.99,155.0,159.0,159.99,160.0,163.88,164.95,164.99,164.99,165.0,165.0,165.0,165.5,167.0,167.5,167.95,168.0,168.95,168.99,169.0,169.0,169.0,169.0,169.0,169.0,169.95,169.95,169.99,170.0,170.0
46265,6305555556,Pokemon Ascended Heroes ETB Case (Eng),case,133,1746.12,1790.0,1841.45,1758.25,1773.69,1828.84,1838.37,1746.12,1790.0,1841.45,1841.45,1842.45,1845.0,1861.16,1861.17,1867.45,1887.45,1892.45,1900.0,1919.0,1967.8,1992.44,1996.8,1997.8,2000.0,2000.0,2042.44,2042.45,2047.8,2058.89,2062.48,2090.0,2096.8,2096.8,2099.99,2099.99,2100.0,1684.95,1690.0,1745.0,1799.0,1799.0,1799.99,1800.0,1800.0,1800.0,1819.0,1825.0,1845.0,1850.0,1870.0,1899.0,1900.0,1900.0,1900.0,1949.99,1950.0,1990.0,1999.0,1999.0,1999.99,1999.99,1999.99,2000.0,2000.0,2044.0,2049.0
46265,6305555556,Pokemon 30th Celebration ETB (Eng),single,728,181.49,182.16,182.19,180.86,182.25,190.82,193.67,181.49,182.16,182.19,182.99,189.8,191.42,192.89,193.9,195.45,197.93,201.9,202.49,202.99,203.5,203.99,204.9,204.98,209.5,214.4,216.4,217.39,219.5,227.35,236.4,237.32,252.65,,,,,174.0,175.0,175.0,175.0,179.99,179.99,182.15,184.89,184.9,184.95,185.0,185.0,187.95,189.94,189.95,195.0,195.0,195.95,196.98,198.98,199.95,199.99,209.9,209.93,218.98,219.9,,,,
46265,6305555556,Pokemon 30th Celebration Booster Bundle (Eng),single,313,102.48,103.5,104.73,97.25,97.46,108.47,110.89,102.48,103.5,104.73,104.98,105.48,108.9,109.98,110.5,110.98,112.19,113.5,114.98,117.17,133.1,,,,,,,,,,,,,,,,,92.98,93.51,94.9,95.0,95.0,97.94,97.98,98.59,98.6,99.95,99.98,99.99,99.99,99.99,,,,,,,,,,,,,,,,
46265,6305555556,Pokemon 30th Celebration Umbreon UPC (Eng),single,65,617.13,617.9,618.93,641.14,630.73,658.68,648.39,617.13,617.9,618.93,620.0,628.06,633.19,654.99,796.9,,,,,,,,,,,,,,,,,,,,,,,599.0,600.0,609.93,609.94,612.0,614.99,619.99,780.0,,,,,,,,,,,,,,,,,,,,,,
46265,6305555556,Pokemon 30th Celebration Espeon UPC (Eng),single,90,598.13,598.93,599.94,625.79,614.34,644.67,633.14,598.13,598.93,599.94,613.19,614.95,618.06,624.99,796.9,,,,,,,,,,,,,,,,,,,,,,,580.0,580.0,584.99,589.94,599.93,599.93,599.95,780.0,,,,,,,,,,,,,,,,,,,,,,
46265,6305555556,Pokemon 30th Celebration Mini Tin Display (Eng),single,51,364.98,368.9,372.42,372.71,368.67,386.82,382.85,364.98,368.9,372.42,379.86,379.9,380.99,388.19,396.9,397.4,398.94,,,,,,,,,,,,,,,,,,,,,349.99,355.0,359.95,359.99,360.0,374.0,379.85,379.98,380.0,387.95,,,,,,,,,,,,,,,,,,,,
46265,6305555556,Pokemon Destined Rivals Booster Display (De),single,1366,276.17,277.09,277.19,271.72,273.52,280.76,282.01,276.17,277.09,277.19,277.19,277.19,282.09,282.19,282.19,283.19,284.85,285.49,286.19,286.19,286.19,286.79,287.78,292.18,292.38,296.19,297.08,297.18,297.19,297.19,297.19,298.79,302.18,304.85,304.89,305.19,305.54,268.0,268.98,268.99,269.9,270.0,270.0,270.0,274.9,275.0,275.0,276.0,279.0,279.0,279.0,279.0,279.88,279.9,280.0,284.99,289.0,289.89,289.99,289.99,290.0,290.0,290.0,294.99,298.0,298.99,299.0
46265,6305555556,Pokemon Ascended Heroes Mini Tin Display (Eng),single,174,282.8,311.0,311.5,303.23,305.05,323.56,324.5,282.8,311.0,311.5,321.45,324.18,324.49,324.8,324.88,327.18,329.97,336.36,337.14,337.18,337.19,337.42,350.99,352.19,357.19,359.55,366.45,366.9,369.55,369.55,386.44,386.99,403.99,406.39,407.08,407.16,407.18,250.0,280.0,280.0,287.0,292.0,299.99,309.89,316.99,319.99,319.99,319.99,320.0,324.99,325.0,329.95,329.99,330.0,340.0,344.99,345.0,350.0,350.0,350.0,350.0,379.8,390.0,399.0,399.89,399.9,399.97
46265,6305555556,Pokemon Ascended Heroes Booster Bundle Display (Eng),single,236,1050.0,1176.0,1186.6,1124.86,1133.19,1193.21,1198.0,1050.0,1176.0,1186.6,1186.7,1186.7,1186.7,1199.0,1200.0,1200.0,1200.0,1209.98,1211.7,1236.69,1240.99,1299.0,1300.0,1300.0,1300.0,1300.0,1315.68,1320.0,1336.7,1336.7,1349.0,1350.0,1350.0,1350.0,1362.0,1399.99,1536.69,950.0,1076.0,1099.0,1100.0,1100.0,1100.0,1149.9,1150.0,1150.0,1150.0,1175.0,1198.99,1199.0,1199.99,1199.99,1200.0,1200.0,1200.0,1200.0,1220.0,1249.0,1250.0,1250.0,1250.0,1262.0,1299.99,1300.0,1300.0,1300.0,1499.99
46265,6305555556,Pokemon Ascended Heroes Pokemon Center ETB (Eng),single,270,401.5,405.39,406.47,409.25,419.73,440.05,445.93,401.5,405.39,406.47,410.39,417.42,438.1,455.38,461.5,463.73,467.42,467.69,469.19,471.9,476.47,476.47,489.55,492.19,497.18,499.55,499.55,503.79,507.19,509.54,509.55,518.55,519.55,519.55,522.0,522.0,522.5,380.0,380.0,380.0,385.0,400.0,400.0,400.0,429.99,439.0,440.0,449.95,450.0,450.0,450.0,462.0,470.0,480.0,480.0,485.0,485.0,489.99,489.99,490.0,495.0,499.0,499.0,499.0,499.99,499.99,500.0
46265,6305555556,Pokemon Ascended Heroes Pokemon Center ETB (De),single,270,162.19,162.39,167.19,160.67,160.22,171.0,171.22,162.19,162.39,167.19,167.69,172.14,172.18,172.19,172.19,172.19,172.19,172.19,173.99,175.18,177.19,177.19,178.9,182.19,182.19,182.19,182.19,182.38,184.19,186.19,187.09,187.09,187.14,187.18,187.18,187.18,187.19,140.0,149.99,154.9,155.0,159.99,160.0,160.5,164.95,164.99,165.0,165.0,165.0,165.0,165.0,167.99,170.0,170.0,170.0,175.0,175.0,175.0,175.0,177.0,179.0,179.9,179.9,179.95,179.99,179.99,179.99
46265,6305555556,Pokemon Ascended Heroes ETB (De),single,1418,117.19,118.19,118.3,113.3,113.49,120.49,120.68,117.19,118.19,118.3,120.14,120.18,120.19,120.69,121.09,121.19,122.13,122.14,122.18,122.18,122.19,122.19,122.19,122.19,122.19,122.19,122.19,122.19,122.19,122.19,122.19,123.14,123.18,123.19,125.49,126.09,126.14,110.0,111.0,111.11,112.95,112.99,113.0,113.5,113.9,114.0,114.94,114.95,114.99,114.99,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.95,115.99,116.0,118.9,118.95,119.0
